combination,accuracy
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5875637962333242, 0.006943173877742339]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5874948227219517, 0.008677667868943069]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'author')","[0.5872361842705589, 0.007375623235355838]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5870248379983835, 0.005552174658845007]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5870138705411896, 0.006914254653953461]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5867642412834055, 0.004967635805658619]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5867418263831488, 0.006509826217234248]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.586546518693883, 0.007973169381207132]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_bit_count', 'author')","[0.5865285701526796, 0.00665988474333711]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.5864488276310824, 0.009448418814861548]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5863375545528153, 0.004984429483648189]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5863120646871349, 0.005025644500286456]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'author', 'channel')","[0.5862201027817247, 0.007962670992336697]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5861877767699522, 0.007610997588642491]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5861849679865407, 0.0067459387300438075]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'author')","[0.5861767025744813, 0.007808251368115523]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5861355475286201, 0.007465129178309268]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count')","[0.5861066897953283, 0.0072421101006271485]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5860574775709311, 0.004578192061082392]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_word_count')","[0.5858788736576233, 0.005339361537446251]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5856632550541047, 0.005216851200194096]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5856141698587193, 0.005159169315894304]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5854188046314648, 0.003679338665735059]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.5847050807910016, 0.0047294311061655955]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5839866788286623, 0.006972995966911747]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5834211920065473, 0.004626275452802702]"
