combination,accuracy
"('Month', 'Year', 'Hour', 'title_bit_count', 'author')","[0.5332941038682245, 0.008673511510628769]"
"('Month', 'Year', 'Day', 'content_len', 'title_word_count', 'author')","[0.5332801177011819, 0.011804235974084996]"
"('Month', 'Day', 'link_count', 'author', 'channel')","[0.5332776101656235, 0.008455040220228326]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_word_count')","[0.533275683523798, 0.0066479237681825445]"
"('Month', 'Weekday', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5332705040905339, 0.0054118885714187085]"
"('Month', 'Day', 'author', 'channel')","[0.5332698722428453, 0.008438381032574908]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'title_bit_count')","[0.5332483159585744, 0.009274652732029787]"
"('Month', 'Year', 'Hour', 'img_count', 'author', 'channel')","[0.533230895980479, 0.010037509716150148]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_bit_count')","[0.5331904636788123, 0.0027847495021308963]"
"('Month', 'Year', 'Hour', 'author')","[0.5331309008087339, 0.010743708356972081]"
"('Weekday', 'Day', 'Hour', 'img_count', 'title_word_count')","[0.5331269400320606, 0.005581908352558252]"
"('Month', 'Year', 'Day', 'Hour', 'channel')","[0.5331163190627303, 0.004659241089376046]"
"('Month', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5331064585831617, 0.005722543059696272]"
"('Month', 'Day', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5330734606423139, 0.0053705047614907775]"
"('Weekday', 'Year', 'Hour', 'img_count', 'author')","[0.5330247326757231, 0.00712854179163996]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_word_count', 'channel')","[0.5329832520535354, 0.006245097259595173]"
"('Month', 'Year', 'Day', 'link_count', 'title_bit_count')","[0.53293004654488, 0.006258450639295583]"
"('Month', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5329142285459956, 0.0024883530426666254]"
"('Month', 'Day', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5329016468906463, 0.007817611348915383]"
"('Month', 'Year', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5328855749466846, 0.0026918936182391004]"
"('Month', 'Weekday', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5328500273541834, 0.008592452242738555]"
"('Month', 'Year', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5328497198721193, 0.006477636306195054]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5328433697417367, 0.00975651636745805]"
"('Month', 'img_count', 'link_count', 'author', 'channel')","[0.532805330792921, 0.009805428195716445]"
"('Month', 'Day', 'Hour', 'author')","[0.5328051100432012, 0.0052103469794876145]"
"('Month', 'Year', 'Day', 'img_count', 'title_word_count', 'channel')","[0.5327985559435457, 0.003981434731986846]"
"('Month', 'Weekday', 'Day', 'content_len', 'link_count', 'title_word_count')","[0.5327853226006275, 0.005965272712932194]"
"('Weekday', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.532783651043154, 0.006454502442547024]"
"('Month', 'Year', 'Hour', 'link_count', 'author')","[0.532780621023827, 0.008684460090244426]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count')","[0.5327780100245962, 0.006816921124402797]"
"('Month', 'Hour', 'content_len', 'title_word_count', 'author')","[0.5327724888443421, 0.0051769725860095666]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_word_count')","[0.5327517853691124, 0.003086468115271396]"
"('Month', 'Year', 'Day', 'img_count', 'content_len', 'channel')","[0.5327428995532891, 0.009235691106102837]"
"('Month', 'link_count', 'title_bit_count', 'author')","[0.5327340733412242, 0.005104504415622355]"
"('Month', 'Weekday', 'Hour', 'link_count', 'channel')","[0.5326955812464014, 0.006008206315922071]"
"('Month', 'Day', 'Hour', 'content_len', 'author')","[0.532692249948964, 0.0034690101102899484]"
"('Month', 'Day', 'Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5326792397336215, 0.004238153376541786]"
"('Weekday', 'Day', 'content_len', 'title_bit_count', 'author')","[0.5326537435394062, 0.008729631005633271]"
"('Month', 'Day', 'link_count', 'title_bit_count')","[0.5326391921833602, 0.005614557060569252]"
"('Weekday', 'Year', 'Day', 'channel')","[0.5326267781817295, 0.005015625219768152]"
"('Month', 'Year', 'img_count', 'channel')","[0.5326254848968125, 0.004395647102358709]"
"('Month', 'Weekday', 'Year', 'content_len', 'link_count', 'title_word_count')","[0.5326116455303193, 0.003049425215260151]"
"('Month', 'Weekday', 'Hour', 'title_bit_count', 'channel')","[0.5325726272322516, 0.005245466974370749]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'channel')","[0.5325723542985521, 0.0059244326845673]"
"('Month', 'Weekday', 'Hour', 'content_len', 'title_word_count')","[0.5325465305649434, 0.007658424432162994]"
"('Month', 'Weekday', 'Day', 'Hour', 'content_len', 'link_count')","[0.532529926014397, 0.004591183709124868]"
"('Month', 'Year', 'Day', 'Hour', 'title_word_count', 'author')","[0.5324796898336449, 0.0049249226885507485]"
"('Weekday', 'Day', 'img_count', 'content_len', 'author')","[0.5324646720544702, 0.009041914659856546]"
"('author',)","[0.5324566605497333, 0.010800102646914028]"
"('Month', 'Weekday', 'Hour', 'content_len', 'title_bit_count')","[0.5324443759115756, 0.005686910988619881]"
"('Month', 'Weekday', 'Day', 'img_count', 'link_count', 'title_bit_count')","[0.532436481402841, 0.007166318899764026]"
"('Month', 'Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5324013185236346, 0.011454159057474964]"
"('Month', 'Year', 'Day', 'title_word_count', 'title_bit_count', 'author')","[0.532377313183784, 0.003680511456885746]"
"('Month', 'Weekday', 'Year', 'content_len', 'link_count', 'title_bit_count')","[0.5323488723441101, 0.004384202188027485]"
"('Month', 'Year', 'link_count', 'title_bit_count', 'author')","[0.5323354528550888, 0.007865351080199527]"
"('Month', 'Year', 'content_len', 'author', 'channel')","[0.5323285661948362, 0.004786804255867079]"
"('Month', 'Year', 'img_count', 'title_bit_count', 'author', 'channel')","[0.532321290222405, 0.0037374806298556837]"
"('Month', 'Year', 'link_count', 'title_word_count', 'author')","[0.5323055753181161, 0.0069802675802305945]"
"('Month', 'Day', 'content_len', 'link_count', 'author')","[0.5322903767180595, 0.00881814503963183]"
"('Month', 'Year', 'Day', 'link_count', 'title_word_count', 'channel')","[0.5322788236475728, 0.001062419551933731]"
"('Weekday', 'Year', 'Hour', 'author', 'channel')","[0.532263219633245, 0.011635733231184463]"
"('Month', 'Day', 'Hour', 'title_bit_count', 'author')","[0.5322624773468935, 0.004525450960018278]"
"('Month', 'Weekday', 'Day', 'link_count', 'channel')","[0.532259742315885, 0.006112364051341434]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_bit_count')","[0.5322567767443668, 0.008140232417723884]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_bit_count', 'channel')","[0.5322429937505091, 0.003219636930138803]"
"('Month', 'Year', 'Day', 'content_len', 'title_bit_count', 'channel')","[0.5322178000444729, 0.008954468777498182]"
"('Weekday', 'Day', 'link_count', 'author', 'channel')","[0.532207729090497, 0.006971668357210035]"
"('Month', 'Day', 'link_count', 'title_bit_count', 'author')","[0.5321956016044396, 0.0028519082352591557]"
"('Month', 'Year', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5321929518530354, 0.00580730673053925]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len', 'link_count')","[0.532188707540015, 0.003512781926639584]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'author')","[0.5321761428991261, 0.006813438278374453]"
"('Month', 'Weekday', 'Year', 'title_word_count', 'author')","[0.5320970245093601, 0.006307454776605568]"
"('Month', 'Year', 'Day', 'img_count', 'content_len')","[0.532096710230488, 0.00907105952032828]"
"('Month', 'link_count', 'author', 'channel')","[0.5320538444589646, 0.00756314891850157]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_bit_count')","[0.532014182911926, 0.005293990845708545]"
"('Weekday', 'Day', 'title_bit_count', 'author')","[0.5319968800692696, 0.008264345229956718]"
"('Month', 'Year', 'Day', 'Hour', 'link_count', 'title_word_count')","[0.5319774398315846, 0.0037378354467755264]"
"('Month', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5319769552921945, 0.009787625443720277]"
"('Weekday', 'Hour', 'title_word_count')","[0.5319522047503732, 0.00693735495475714]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_bit_count')","[0.5319022449345179, 0.00797112879968357]"
"('Month', 'Year', 'img_count', 'title_word_count', 'channel')","[0.5318901273457073, 0.004375122420411029]"
"('Month', 'Year', 'Day', 'content_len', 'title_word_count', 'channel')","[0.5318576062103789, 0.007748955624444229]"
"('Month', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5318323599817616, 0.0058036967045110265]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len', 'title_word_count')","[0.5318043643535704, 0.00481096139167297]"
"('Month', 'Year', 'Day', 'link_count', 'title_bit_count', 'author')","[0.5318010306170768, 0.0049096712261091306]"
"('Weekday', 'author', 'channel')","[0.5317709929305726, 0.007953721581999737]"
"('Month', 'Year', 'Day', 'img_count')","[0.5317443733023282, 0.004654695724781066]"
"('Month', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.5317398791324911, 0.003966293585418103]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5317326754657196, 0.0025308991090088584]"
"('Month', 'Weekday', 'Day', 'content_len')","[0.5317059050767646, 0.005316253138739523]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_bit_count')","[0.5316871839925461, 0.010518821063269922]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len', 'link_count')","[0.5316843953444413, 0.010417879994168081]"
"('Month', 'Year', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5316842510157838, 0.005210740507725245]"
"('Month', 'Weekday', 'title_word_count', 'channel')","[0.5316796291182483, 0.009865492739350416]"
"('Month', 'Year', 'Day', 'Hour', 'title_word_count', 'channel')","[0.5315955005769045, 0.005374789920127903]"
"('Month', 'Year', 'Day', 'img_count', 'title_word_count', 'author')","[0.5315724719980853, 0.007408596544643091]"
"('Month', 'Year', 'Day', 'Hour', 'img_count', 'link_count')","[0.5315660720076762, 0.0037504027066597185]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_word_count')","[0.5315544563066827, 0.006672029153845966]"
"('Year', 'img_count', 'author')","[0.531548662696258, 0.006324083889980251]"
"('Month', 'Day', 'link_count', 'title_word_count', 'author')","[0.5315476101923272, 0.005058149149464019]"
"('Month', 'Weekday', 'Year', 'link_count', 'channel')","[0.5315357053057621, 0.0031530142298678]"
"('Month', 'Day', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5315347469433074, 0.007891392837246674]"
"('Weekday', 'img_count', 'link_count', 'author', 'channel')","[0.5315102794262782, 0.00907119637853212]"
"('Month', 'link_count')","[0.5314990226055801, 0.002249388633011899]"
"('Month', 'Weekday', 'link_count', 'author')","[0.5314974653563473, 0.005899048212809146]"
"('Month', 'Weekday', 'Day', 'title_bit_count', 'channel')","[0.5314960191169232, 0.0050398118337009155]"
"('Month', 'Year', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5314829218138772, 0.0072133081211773345]"
"('Month', 'Weekday', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5314744145967966, 0.007185445438060789]"
"('Month', 'Weekday', 'link_count', 'title_bit_count')","[0.5314123003253828, 0.005495524695401858]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'title_word_count')","[0.531401116333613, 0.005267155857564149]"
"('Month', 'Day', 'img_count', 'title_bit_count', 'author')","[0.5313501371878415, 0.005487437610330695]"
"('Weekday', 'Year', 'title_bit_count')","[0.5313290883083084, 0.006346654818470506]"
"('Month', 'Year', 'title_word_count', 'title_bit_count', 'author')","[0.5313087097415332, 0.005256190108164158]"
"('Month', 'Year', 'Day', 'Hour', 'link_count')","[0.5312988951860177, 0.008184800014285178]"
"('Month', 'Day', 'Hour', 'title_word_count', 'author', 'channel')","[0.5312950274190734, 0.0035141066865765885]"
"('Month', 'Weekday', 'Year', 'title_bit_count')","[0.5312857582965226, 0.003152509337967576]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_word_count')","[0.5312261960760962, 0.006226010553731462]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour')","[0.5312130796412011, 0.005749889076999772]"
"('Weekday', 'Day', 'content_len', 'author')","[0.5311624899354386, 0.006928204318593745]"
"('Weekday', 'Year', 'title_word_count', 'channel')","[0.5311535400069144, 0.005018748205567504]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len')","[0.5311330872629654, 0.0034478968794494596]"
"('Month', 'Weekday', 'title_word_count', 'author', 'channel')","[0.5311085052601874, 0.006845003918152087]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5310881138452614, 0.0038552745246110552]"
"('Weekday', 'Year', 'Hour', 'content_len', 'author')","[0.5310849453308379, 0.008799121228160647]"
"('Month', 'Weekday', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5310805075209191, 0.005448482673120718]"
"('Month', 'Year', 'Day', 'content_len', 'link_count', 'channel')","[0.5310804743104485, 0.006105683115128565]"
"('Month', 'Year', 'content_len', 'title_word_count', 'author', 'channel')","[0.5310757078805288, 0.006189842583240055]"
"('Month', 'Weekday', 'Day', 'img_count', 'link_count')","[0.5310064886532985, 0.00401736159041909]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_bit_count', 'channel')","[0.5310044018621572, 0.0028794490600454648]"
"('Weekday', 'Year', 'Day', 'author')","[0.530993243793769, 0.006595823138946716]"
"('Month', 'Year', 'Hour', 'content_len', 'link_count', 'channel')","[0.530984604493343, 0.0065846034041897195]"
"('Weekday', 'Hour', 'img_count')","[0.530981878806456, 0.007317086297501415]"
"('Month', 'Year', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5309739270580571, 0.00940311069499019]"
"('Month', 'Weekday', 'link_count', 'title_word_count', 'title_bit_count')","[0.5309483834769386, 0.004198257343108536]"
"('Month', 'Weekday', 'Hour', 'title_word_count', 'channel')","[0.5309413944555135, 0.008470628511042192]"
"('Weekday', 'link_count')","[0.5309399240819029, 0.005816575714438451]"
"('Month', 'Year', 'img_count', 'link_count', 'author')","[0.5309279296059388, 0.007121288556485377]"
"('Month', 'Year', 'Hour', 'img_count', 'channel')","[0.5309238308283032, 0.0075762189602626585]"
"('Month', 'Year', 'Hour', 'author', 'channel')","[0.5309126303721925, 0.01085251397635632]"
"('Month', 'Weekday', 'Year', 'Day', 'link_count')","[0.5308871102533719, 0.006668931708038198]"
"('Month', 'Year', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.5308684944744848, 0.008343181013417173]"
"('Weekday', 'Day', 'title_word_count', 'title_bit_count', 'author')","[0.5308642063998098, 0.007185939280541151]"
"('Month', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5308482901875028, 0.0047856736230553745]"
"('Weekday', 'Day', 'link_count', 'title_bit_count', 'author')","[0.5308432551111639, 0.006897226830267905]"
"('Month', 'link_count', 'title_word_count', 'author')","[0.5308394110929481, 0.003346736499678112]"
"('Month', 'Year', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5308313940754987, 0.009600658560066765]"
"('Weekday', 'img_count', 'title_word_count')","[0.5308263932330352, 0.008815632589095259]"
"('Month', 'Year', 'Day', 'link_count', 'title_bit_count', 'channel')","[0.5308230111873072, 0.005848668423490394]"
"('Month', 'Year', 'Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.5308087315676284, 0.006582206147456832]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'channel')","[0.5308066035076677, 0.005250147549040386]"
"('Month', 'Weekday', 'img_count', 'link_count', 'channel')","[0.5307859412786419, 0.005507400543844861]"
"('Weekday', 'Year', 'Day', 'title_bit_count', 'author')","[0.5307822513148606, 0.005523215810763834]"
"('Month', 'Day', 'img_count', 'author', 'channel')","[0.5307194603576362, 0.009097588717426735]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5307113727731398, 0.0040493581820394324]"
"('Weekday', 'Year', 'Hour', 'img_count')","[0.5306841528679088, 0.004968881986962409]"
"('Weekday', 'img_count', 'title_word_count', 'author', 'channel')","[0.5306800821836923, 0.010055983798188926]"
"('Month', 'content_len', 'link_count', 'author', 'channel')","[0.5306681348386297, 0.006840387106368981]"
"('Weekday', 'Hour', 'content_len', 'title_word_count', 'author')","[0.5306523687845937, 0.0037908347948705824]"
"('Weekday', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5306438752917175, 0.007862289502112643]"
"('Month', 'Weekday', 'Hour', 'img_count', 'link_count')","[0.5306374707199224, 0.005142017148633613]"
"('Month', 'Day', 'img_count', 'title_word_count', 'author')","[0.5306290419686182, 0.005269200972460108]"
"('Weekday', 'Year', 'title_bit_count', 'author', 'channel')","[0.5306272499596504, 0.006112895318166925]"
"('Month', 'Weekday', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5305778803780475, 0.0019193774528587168]"
"('Month', 'Weekday', 'img_count', 'title_word_count')","[0.5305675616192125, 0.008564438035275693]"
"('Month', 'Weekday', 'Day', 'content_len', 'link_count')","[0.530543354824769, 0.0022913958300408875]"
"('Month', 'Year', 'link_count')","[0.530532489214935, 0.0021504697551381095]"
"('Weekday', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5305191919848511, 0.007511868892883499]"
"('Month', 'Year', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5305018970179368, 0.0035395691889338037]"
"('Month', 'Day', 'Hour', 'img_count', 'author')","[0.5304952068383305, 0.005262840118994955]"
"('Weekday', 'img_count', 'title_word_count', 'channel')","[0.5304628416131902, 0.006274699059907147]"
"('Weekday', 'Day', 'Hour', 'img_count', 'author')","[0.5304613406927448, 0.005969672438058678]"
"('Weekday', 'content_len', 'title_word_count', 'author', 'channel')","[0.5304476650134647, 0.008890168912714609]"
"('Month', 'img_count', 'link_count', 'author')","[0.5304343106034197, 0.0074619577251066795]"
"('Month', 'Day', 'img_count', 'content_len', 'link_count', 'channel')","[0.5303946059348672, 0.00658567391264782]"
"('Month', 'Hour', 'img_count', 'author', 'channel')","[0.5303905289676001, 0.007268475704481688]"
"('Month', 'Weekday', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5303585272676783, 0.0057894911309608905]"
"('Month', 'Hour', 'content_len', 'author')","[0.5303545282385392, 0.004376989908455786]"
"('Weekday', 'Day', 'content_len', 'link_count', 'author')","[0.530350824320411, 0.007489604132358075]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len', 'title_bit_count')","[0.5303210566365173, 0.0034177637939116945]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_word_count')","[0.5303150506648159, 0.006558619121239245]"
"('Weekday', 'Day', 'img_count', 'link_count', 'author')","[0.5303081928535035, 0.005811257164265095]"
"('Weekday', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5302750380101875, 0.006849088459168305]"
"('Weekday', 'Year', 'content_len', 'title_bit_count', 'author')","[0.5302474785264589, 0.00839030513203782]"
"('Month', 'Day', 'img_count', 'author')","[0.5301693177585001, 0.0076778976266177615]"
"('Month', 'Year', 'Day', 'title_word_count', 'title_bit_count', 'channel')","[0.5301196192024636, 0.004016146101984986]"
"('Month', 'img_count', 'title_word_count')","[0.5300321390874873, 0.005911909789860686]"
"('Weekday', 'img_count', 'content_len', 'author')","[0.5300063008441229, 0.005629168652172032]"
"('Month', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5300012579232106, 0.004811600708138784]"
"('Weekday', 'Day', 'Hour', 'author')","[0.5299221986017018, 0.01106757459192668]"
"('Weekday', 'Hour', 'link_count', 'author', 'channel')","[0.5299102515799202, 0.00791517932385859]"
"('Weekday', 'Year', 'Day', 'link_count', 'author')","[0.5298927740389219, 0.005516110076343561]"
"('Month', 'Year', 'Day', 'title_bit_count', 'author')","[0.5298920290518483, 0.0076651008384749164]"
"('Weekday', 'Year', 'Day', 'link_count', 'channel')","[0.529860649478651, 0.01022496327168173]"
"('Weekday', 'Day', 'link_count', 'title_word_count', 'author')","[0.5298423266011485, 0.005252295434602307]"
"('Weekday', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5298402265557034, 0.004619616017801082]"
"('Month', 'Year', 'Day', 'link_count')","[0.5298351998663413, 0.006714751653911542]"
"('Month', 'title_bit_count', 'author', 'channel')","[0.5298081584592126, 0.005506532621958289]"
"('Weekday', 'link_count', 'author', 'channel')","[0.5297931231968196, 0.01058848691665978]"
"('Month', 'Day', 'Hour', 'img_count', 'author', 'channel')","[0.529788533217568, 0.008280575653382834]"
"('Month', 'Weekday', 'Year', 'Day', 'link_count', 'title_word_count')","[0.5297859262057021, 0.004000736246460379]"
"('Year', 'img_count', 'author', 'channel')","[0.5297796036439405, 0.004998776560176859]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_bit_count')","[0.5297787153928347, 0.0027370408734339164]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'title_bit_count')","[0.5297551373492431, 0.011555510698905466]"
"('Weekday', 'Hour', 'img_count', 'author', 'channel')","[0.5297409718021543, 0.006921217560281945]"
"('Month', 'Year', 'Day', 'Hour', 'title_bit_count')","[0.5297393813701464, 0.004617065596786537]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_word_count', 'title_bit_count')","[0.5297303538321924, 0.004972296574115946]"
"('Month', 'Year', 'Hour', 'title_word_count', 'author', 'channel')","[0.5297178706892869, 0.003721798281166631]"
"('Weekday', 'Day', 'Hour', 'link_count', 'title_bit_count')","[0.5297165223774984, 0.0055245231940121865]"
"('Month', 'Year', 'title_bit_count', 'author', 'channel')","[0.5297076940205259, 0.008177532989827761]"
"('Weekday', 'Year', 'Day', 'Hour', 'author')","[0.5296932097605658, 0.008765477265917008]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_word_count')","[0.529636366625357, 0.003531956655660996]"
"('Month', 'Year', 'Day', 'title_word_count', 'channel')","[0.5296286365350718, 0.004611449443778763]"
"('Month', 'Hour', 'title_bit_count', 'author')","[0.5296009412687168, 0.00953871539341251]"
"('Weekday', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5295969860481348, 0.007194435430548499]"
"('Month', 'Weekday', 'Year', 'link_count')","[0.5295801316031047, 0.003993107224989464]"
"('Weekday', 'Day', 'channel')","[0.5295778030256953, 0.004976461077157511]"
"('Month', 'Year', 'Day', 'img_count', 'link_count', 'title_bit_count')","[0.5295775033812988, 0.007370765700902297]"
"('Weekday', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5295689251407054, 0.012180989568603915]"
"('Month', 'Year', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5295293401608638, 0.004220810093992567]"
"('Month', 'Year', 'Hour', 'content_len', 'link_count')","[0.5295277136698001, 0.007420432348607075]"
"('Month', 'Day', 'Hour', 'content_len', 'link_count', 'channel')","[0.529516585840285, 0.004619081391050739]"
"('Month', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5294855999833006, 0.006179537975843137]"
"('Month', 'Weekday', 'Day', 'link_count')","[0.529483609982793, 0.00786062188846219]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len')","[0.5294530729789432, 0.004706265924394996]"
"('Month', 'Weekday', 'Year', 'Day', 'title_bit_count')","[0.5294259210624553, 0.008772235799720318]"
"('Weekday', 'Day', 'img_count', 'title_bit_count', 'author')","[0.5293962207176066, 0.0035936608056707357]"
"('Weekday', 'Year', 'Hour', 'link_count', 'author')","[0.5293734282298086, 0.007395407594488162]"
"('Month', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5293668927373495, 0.007597993862462142]"
"('Month', 'Year', 'img_count', 'title_bit_count', 'channel')","[0.5293561349701305, 0.003695681071819587]"
"('Month', 'Year', 'Hour', 'content_len', 'channel')","[0.5293309688016904, 0.00467686663113879]"
"('Month', 'Year', 'Day', 'Hour', 'title_word_count')","[0.5293058732438306, 0.005143012962453289]"
"('Month', 'img_count', 'channel')","[0.5292980981584039, 0.004213623135336896]"
"('Weekday', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5292753312593886, 0.00468003764900167]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_word_count', 'title_bit_count')","[0.5292285618660507, 0.00435935942694909]"
"('Weekday', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5292109209282811, 0.006161093673253289]"
"('Month', 'Year', 'Day', 'title_word_count', 'author', 'channel')","[0.5291896516606049, 0.00881017407372583]"
"('Month', 'Hour', 'link_count', 'author')","[0.5291432557999315, 0.00542363258991502]"
"('Weekday', 'Year', 'Hour', 'title_word_count')","[0.5291365002505419, 0.0061568939662180085]"
"('Weekday', 'Day', 'author')","[0.5291342946596116, 0.006006915971798658]"
"('Month', 'Year', 'title_word_count', 'author', 'channel')","[0.529103922970417, 0.006915251389642981]"
"('Month', 'Day', 'title_bit_count', 'author', 'channel')","[0.5290036024466559, 0.005299788965646611]"
"('Month', 'Day', 'Hour', 'title_word_count', 'author')","[0.5290017408894434, 0.00837956196037217]"
"('Weekday', 'Hour', 'img_count', 'author')","[0.5289941523229391, 0.009619075096757421]"
"('Weekday', 'Day', 'Hour', 'title_word_count', 'author')","[0.5289902318649218, 0.0031345509082427825]"
"('Weekday', 'Year', 'title_word_count', 'author', 'channel')","[0.5289620521495833, 0.006892229177761335]"
"('Month', 'Day', 'content_len', 'title_word_count', 'author')","[0.5289470925155488, 0.008694948536219828]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_word_count')","[0.5289414532898501, 0.006368361273088432]"
"('Weekday', 'img_count', 'link_count', 'channel')","[0.5289294981569099, 0.005456938541999123]"
"('Weekday', 'Year', 'Hour', 'img_count', 'title_word_count')","[0.5289287290746413, 0.004761439499528137]"
"('Month', 'content_len', 'author', 'channel')","[0.5289011768461767, 0.0025055800462961525]"
"('Month', 'Year', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5288167513982501, 0.005055733462275365]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'title_bit_count')","[0.5288047673485254, 0.0017134306205813586]"
"('Month', 'Weekday', 'Year', 'content_len', 'link_count')","[0.5288041155145289, 0.00248250561794296]"
"('Month', 'Year', 'title_word_count', 'channel')","[0.5287829035438418, 0.004352457552993568]"
"('Month', 'Hour', 'img_count', 'title_word_count', 'author')","[0.528781850351513, 0.00823909767186107]"
"('Weekday', 'img_count', 'content_len', 'author', 'channel')","[0.5287695666265518, 0.006723417655861363]"
"('Month', 'Year', 'Day', 'img_count', 'content_len', 'title_bit_count')","[0.5287483370572985, 0.006863332866055372]"
"('Weekday', 'Year', 'img_count', 'title_bit_count', 'author')","[0.5287472623253894, 0.00437037811389094]"
"('Weekday', 'Hour', 'content_len', 'author')","[0.5287082040094854, 0.010679176957366506]"
"('Weekday', 'Year', 'Hour', 'title_bit_count', 'author')","[0.5287028830887648, 0.005307909123267126]"
"('Year', 'link_count', 'author', 'channel')","[0.5286960750894771, 0.008312759456840726]"
"('Weekday', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5286636378355493, 0.005884275877748962]"
"('Hour', 'img_count', 'content_len', 'author', 'channel')","[0.5286562413216594, 0.008695396419434329]"
"('Month', 'Day', 'Hour', 'content_len', 'link_count', 'author')","[0.5286533001875658, 0.006514499856081451]"
"('Weekday', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5286178653570776, 0.007848431780975036]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len', 'channel')","[0.5286172546019017, 0.006475241375135394]"
