combination,accuracy
"('Month', 'img_count')","[0.5446625746610189, 0.0014161789272261103]"
"('Month', 'Weekday', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5446601239813305, 0.00358041807857598]"
"('Month', 'Weekday', 'link_count', 'title_word_count', 'author', 'channel')","[0.5445288297036006, 0.005425132615222627]"
"('Month', 'Weekday', 'Year', 'content_len', 'link_count', 'author')","[0.54452672711565, 0.0063745671413163755]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'author')","[0.5444858442628118, 0.004293962200895113]"
"('Month', 'Weekday', 'img_count', 'link_count', 'author', 'channel')","[0.5444791034734042, 0.008056837199478854]"
"('Month', 'Weekday', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5443943208461787, 0.004972761347627256]"
"('Month', 'Weekday', 'Year', 'Day', 'title_bit_count', 'author')","[0.5443669881168466, 0.008424131462177381]"
"('Month', 'Weekday', 'img_count', 'content_len', 'author', 'channel')","[0.5443206286505456, 0.006524744080470261]"
"('Month', 'Weekday', 'Year', 'content_len', 'author')","[0.5442903948013613, 0.0044204881956204384]"
"('Month', 'Year', 'title_word_count')","[0.5442774969967201, 0.006380234047214851]"
"('Month', 'Weekday', 'Hour', 'content_len', 'channel')","[0.5441872664562577, 0.008254544392593769]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'title_bit_count', 'author')","[0.5441628082025003, 0.004342298928888075]"
"('Month', 'Weekday', 'Year', 'Hour', 'content_len', 'title_word_count')","[0.5441596107492729, 0.01031005447292101]"
"('Month', 'Weekday', 'Hour', 'img_count', 'author')","[0.5441312575940023, 0.01008937073132033]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'link_count')","[0.5441100882184365, 0.00466151365378209]"
"('Month', 'Weekday', 'Day', 'link_count', 'author', 'channel')","[0.544104055028604, 0.011893410081542712]"
"('Month', 'Weekday', 'Year', 'link_count', 'author', 'channel')","[0.5438992024242761, 0.010714669935274819]"
"('Month', 'Weekday', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5438906633294751, 0.005589114989276266]"
"('Month', 'Weekday', 'Year', 'img_count', 'author')","[0.5438797241772149, 0.00782337565197121]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5436667525200056, 0.0039518225687830135]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len', 'author')","[0.5435991216064527, 0.007120838961283029]"
"('Month', 'Weekday', 'Day', 'img_count', 'link_count', 'author')","[0.5435654380520646, 0.009286225388847099]"
"('Month', 'author')","[0.5435500853875006, 0.006056350910411128]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len', 'channel')","[0.5433848562682891, 0.004155241342609249]"
"('Month', 'Weekday', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5433800230114427, 0.008949481201237161]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'title_word_count')","[0.5433550448643079, 0.005712568845061764]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count', 'title_bit_count')","[0.5433496871167949, 0.004335915829694995]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count', 'link_count')","[0.5433230163887101, 0.007412654763467473]"
"('Month', 'Weekday', 'img_count')","[0.5433218873975034, 0.005236684364371864]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_bit_count', 'author')","[0.5432619609171339, 0.005260338727239827]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'channel')","[0.5432338527983889, 0.006621700768756791]"
"('Month', 'Weekday', 'img_count', 'link_count', 'title_word_count', 'author')","[0.5432290880792251, 0.0057161906937646945]"
"('Month', 'Weekday', 'Year', 'title_word_count')","[0.5432165194229555, 0.006546467827098923]"
"('Month', 'Weekday', 'Year', 'content_len', 'author', 'channel')","[0.543152240395887, 0.003390042465497979]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.543131799112763, 0.005445436094178152]"
"('Month', 'Weekday', 'Day', 'img_count', 'title_word_count', 'author')","[0.5430972886152284, 0.006111660668501411]"
"('Month', 'Weekday', 'Hour', 'content_len', 'author')","[0.5430941433140616, 0.0053732924441427625]"
"('Month', 'Weekday', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5430666620096015, 0.00750217310463289]"
"('Month', 'Weekday', 'content_len', 'title_bit_count', 'author')","[0.5430300252616596, 0.004670000450597044]"
"('Month', 'Weekday', 'Year', 'Hour', 'link_count', 'title_bit_count')","[0.5430148850490426, 0.006967041925745691]"
"('Month', 'Weekday', 'Day', 'title_bit_count', 'author')","[0.5430114263708374, 0.00998938634508388]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count', 'title_word_count')","[0.5430096379305613, 0.003975092872409871]"
"('Month', 'Weekday', 'Year', 'Day', 'author', 'channel')","[0.5429918625590926, 0.007464636825125882]"
"('Month', 'Weekday', 'Day', 'content_len', 'author', 'channel')","[0.5429845952443049, 0.008120569951425403]"
"('Month', 'Weekday', 'Hour', 'img_count', 'content_len')","[0.5429286439803689, 0.006102605338021858]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_word_count', 'author')","[0.542839929676082, 0.010424951800661164]"
"('Month', 'Weekday', 'Day', 'img_count', 'author')","[0.5427828028170588, 0.006433039780481687]"
"('Month', 'Weekday', 'Day', 'Hour', 'content_len', 'channel')","[0.542756579672268, 0.006840189769386464]"
"('Month', 'Weekday', 'Day', 'Hour', 'author')","[0.5426809269455614, 0.00750555001513013]"
"('Month', 'Weekday', 'Year', 'title_bit_count', 'author', 'channel')","[0.5426009423805195, 0.011514815599512609]"
"('Month', 'Weekday', 'Year', 'Hour', 'author')","[0.5425485069411312, 0.006854151320301708]"
"('Month', 'Weekday', 'Year', 'Day', 'link_count', 'title_bit_count')","[0.5424958957127913, 0.0040882658499796715]"
"('Month', 'Weekday', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5421884697048627, 0.010669391020526772]"
"('Month', 'Year', 'author')","[0.5421581369292439, 0.00483017928304147]"
"('Month', 'Weekday', 'Day', 'Hour', 'content_len', 'title_bit_count')","[0.5420918233011301, 0.009335487016333157]"
"('Month', 'Weekday', 'Year', 'Hour', 'author', 'channel')","[0.5419702551320305, 0.009320882145777549]"
"('Month', 'Weekday', 'Year', 'Day', 'channel')","[0.5419506682609071, 0.004579062587904324]"
"('Month', 'Weekday', 'Year', 'author', 'channel')","[0.5418980632573291, 0.007778466970367657]"
"('Month', 'Weekday', 'Year', 'img_count')","[0.5417310910137532, 0.007492390554348588]"
"('Month', 'Weekday', 'Year', 'img_count', 'content_len', 'channel')","[0.5417245626670302, 0.004588241152100202]"
"('Month', 'Weekday', 'Day', 'Hour', 'link_count', 'title_bit_count')","[0.5417130936016298, 0.008394968624687025]"
"('Month', 'Weekday', 'content_len', 'author', 'channel')","[0.541697821357052, 0.004594818530135515]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count')","[0.5416633820250251, 0.004022750947841904]"
"('Month', 'Weekday', 'Hour', 'img_count', 'link_count', 'channel')","[0.5415704816722084, 0.0036279082728161503]"
"('Month', 'Year', 'author', 'channel')","[0.5415647207971643, 0.005600020129797005]"
"('Month', 'Weekday', 'Hour', 'link_count', 'author', 'channel')","[0.5415029678837475, 0.00520776243112337]"
"('Month', 'Weekday', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5414428938811158, 0.004210212213423613]"
"('Month', 'Weekday', 'content_len', 'link_count', 'author')","[0.541440879561921, 0.006385084935029742]"
"('Month', 'Weekday', 'Day', 'link_count', 'author')","[0.5414315021208278, 0.0102315007814771]"
"('Month', 'Weekday', 'Hour', 'img_count', 'author', 'channel')","[0.5414182694791669, 0.006718900641532206]"
"('Month', 'Weekday', 'Day', 'title_bit_count', 'author', 'channel')","[0.5413371152352847, 0.0047201426548198755]"
"('Month', 'Year', 'img_count', 'content_len', 'author', 'channel')","[0.5412474111416056, 0.006550433829639646]"
