combination,accuracy
"('Month', 'Weekday', 'Year')","[0.577323498783504, 0.011483339403833495]"
"('Month', 'Weekday', 'Year', 'img_count')","[0.5762728672462465, 0.011200935361592496]"
"('Month', 'Weekday', 'Year', 'Hour')","[0.5744140913854358, 0.007119532143230308]"
"('Month', 'Weekday', 'Year', 'Day')","[0.5726677746316178, 0.007972144698636413]"
"('Month', 'Weekday', 'Hour')","[0.5717953110022422, 0.006717876388907174]"
"('Month', 'Weekday', 'Year', 'Hour', 'img_count')","[0.5709284825448893, 0.007502521590295747]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour')","[0.5703226786304307, 0.006812012774575853]"
"('Month', 'Weekday', 'Day')","[0.5697854466587741, 0.00697536999476491]"
"('Month', 'Weekday', 'Day', 'Hour')","[0.5692243624087996, 0.007246133033750579]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count')","[0.5686136261707299, 0.005844956322402413]"
"('Month', 'Weekday', 'Day', 'img_count')","[0.5681582314583595, 0.0059033280912928286]"
"('Month', 'Weekday', 'img_count')","[0.5673480630841914, 0.007805159435918422]"
"('Month', 'Weekday', 'Hour', 'img_count')","[0.5673307441090423, 0.009101856979635609]"
"('Month', 'Weekday')","[0.5670174255605891, 0.007959284019189865]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.5661620763258401, 0.003912835941114277]"
"('Month', 'Weekday', 'Day', 'Hour', 'img_count')","[0.5651909695620704, 0.0031790771394493195]"
"('Month', 'Year', 'Day')","[0.5639577991566788, 0.008512521561259444]"
"('Month', 'Day')","[0.5599751899760916, 0.006788208775548214]"
"('Month', 'Year', 'Hour')","[0.5552009435397423, 0.005866485214798116]"
"('Month', 'Year', 'Hour', 'img_count')","[0.5550904385147766, 0.005953872976000801]"
"('Month', 'Year', 'Day', 'img_count')","[0.554303477079952, 0.005921300048855195]"
"('Month', 'Year', 'img_count')","[0.5538557139092047, 0.009387494937143847]"
"('Weekday', 'Day')","[0.5536042235896937, 0.003162392939279013]"
"('Month', 'Year')","[0.5534205032067032, 0.004930683091302904]"
"('Month', 'Day', 'img_count')","[0.5529112136673667, 0.004059408194854281]"
"('Weekday', 'Year', 'Hour')","[0.5516018905261647, 0.010714471176297305]"
"('Weekday', 'Hour')","[0.551243943865503, 0.009006417503023018]"
"('Weekday', 'Year', 'Hour', 'img_count')","[0.5512097043223282, 0.005376921050060527]"
"('Weekday', 'Year', 'Day', 'img_count')","[0.5510979285533749, 0.005225869299734403]"
"('Month', 'Hour', 'img_count')","[0.5498071433512717, 0.006227348527800771]"
"('Weekday', 'Day', 'img_count')","[0.5490633300787549, 0.005243438604292068]"
"('Weekday', 'Year', 'Day')","[0.5489595693442288, 0.006026080906670487]"
"('Weekday', 'Year', 'img_count')","[0.5489544864348199, 0.008024229779113818]"
"('Weekday', 'Year', 'Day', 'Hour')","[0.5488519532978176, 0.0054274549828567855]"
"('Month', 'Year', 'Day', 'Hour')","[0.5484666504008351, 0.0059247412369378485]"
"('Month', 'Year', 'Day', 'Hour', 'img_count')","[0.5482157539847112, 0.0027029536748449353]"
"('Month', 'Day', 'Hour', 'img_count')","[0.5479028098846456, 0.0030852356415063216]"
"('Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.5478047736434503, 0.005154071969282734]"
"('Weekday', 'Day', 'Hour')","[0.5473420784218618, 0.005033934704080446]"
"('Weekday', 'Day', 'Hour', 'img_count')","[0.5469797831060319, 0.004351753768112722]"
"('Month', 'img_count')","[0.5468308407264273, 0.0049352815168786125]"
"('Month', 'Day', 'Hour')","[0.5468077428579753, 0.005748433053608058]"
"('Month',)","[0.5461652408568233, 0.005968087700719856]"
"('Weekday', 'Hour', 'img_count')","[0.5460020025446057, 0.003419325268253805]"
"('Month', 'Hour')","[0.5456166303441207, 0.003623905721957163]"
"('Weekday',)","[0.5453026350308897, 0.008694079315491536]"
"('Weekday', 'img_count')","[0.5450011655344571, 0.0073915417906917965]"
"('Weekday', 'Year')","[0.5443467765839729, 0.00943076552386675]"
"('Day', 'Hour', 'img_count')","[0.5177355192067943, 0.004658409909862717]"
"('Year', 'Day', 'Hour', 'img_count')","[0.5175909434623998, 0.0037054978955820463]"
"('Year', 'Day', 'img_count')","[0.5165867469918715, 0.005843683154333427]"
"('Year', 'img_count')","[0.515119528470138, 0.0023938206379379404]"
"('Day', 'img_count')","[0.5149751247058086, 0.006139281595785764]"
"('Year', 'Hour', 'img_count')","[0.5145732729188026, 0.0032208944490418985]"
"('Year', 'Day', 'Hour')","[0.5123552689214741, 0.011139013157390068]"
"('Year', 'Hour')","[0.5091617527191552, 0.007808844795693117]"
"('Day', 'Hour')","[0.5088502883364241, 0.008230483263496942]"
"('Hour', 'img_count')","[0.5087468652362994, 0.004665441856357141]"
"('Year', 'Day')","[0.5077175049698276, 0.003909637603077018]"
"('Day',)","[0.506251267559682, 0.005683962692497878]"
"('img_count',)","[0.5052815807458048, 0.003770860302529933]"
"('Hour',)","[0.50404187696016, 0.005421833298074211]"
"('Year',)","[0.49720245681392683, 0.008578099635631796]"
