combination,accuracy
"('Month', 'Weekday', 'Year', 'author', 'channel')","[0.5853028281282141, 0.011548317345350154]"
"('Month', 'Weekday', 'Year', 'channel')","[0.5846410229529122, 0.011025985275997628]"
"('Month', 'Weekday', 'Year', 'categories', 'author', 'channel')","[0.5832217805515827, 0.010074644602783681]"
"('Month', 'Weekday', 'Year', 'author')","[0.5819608105779089, 0.010597997842061462]"
"('Month', 'Weekday', 'Year', 'categories', 'channel')","[0.5814499940743583, 0.010668792093955421]"
"('Month', 'Weekday', 'Year', 'categories')","[0.5807858874024333, 0.010777299502689745]"
"('Month', 'Weekday', 'Year', 'categories', 'author')","[0.5800977974832731, 0.00904077541771527]"
"('Month', 'Weekday', 'Year', 'img_count', 'author', 'channel')","[0.5790312503740789, 0.012079893943020682]"
"('Month', 'Weekday', 'Year', 'img_count', 'categories', 'channel')","[0.5788731581809228, 0.009125826453028108]"
"('Month', 'Weekday', 'Year', 'img_count', 'channel')","[0.5787292292850476, 0.011074491760036]"
"('Month', 'Weekday', 'Year', 'Hour', 'author', 'channel')","[0.5786336041479316, 0.008800828619161294]"
"('Month', 'Weekday', 'Year', 'Hour', 'categories', 'author', 'channel')","[0.5786101057615636, 0.008097495736459482]"
"('Month', 'Weekday', 'Year', 'img_count', 'categories', 'author', 'channel')","[0.5785945190117496, 0.008918960511658656]"
"('Month', 'Weekday', 'Year')","[0.5785591721334952, 0.009371497484609097]"
"('Month', 'Weekday', 'Year', 'Hour', 'categories', 'author')","[0.5783689513793675, 0.009128256166023741]"
"('Month', 'Weekday', 'Year', 'img_count', 'author')","[0.5775162865015968, 0.0105760775102208]"
"('Month', 'Weekday', 'Year', 'Hour', 'channel')","[0.5774152731237734, 0.00856861024855621]"
"('Month', 'Weekday', 'Year', 'Hour', 'categories', 'channel')","[0.5773208457863537, 0.007973167872631744]"
"('Month', 'Weekday', 'Year', 'img_count')","[0.5772248399906368, 0.010831182420516828]"
