iter	Logloss
0	0.6867156823
1	0.6818963729
2	0.6790285623
3	0.6729255537
4	0.671433415
5	0.6668699712
6	0.662887508
7	0.6597835797
8	0.6571923485
9	0.6565509719
10	0.6561344305
11	0.6553570155
12	0.65406938
13	0.6536799827
14	0.652851019
15	0.6520745941
16	0.651658149
17	0.6513529302
18	0.6504208843
19	0.6500772061
20	0.6495344569
21	0.648980848
22	0.6487975793
23	0.6482225447
24	0.6480767613
25	0.6470941067
26	0.6466821072
27	0.6462988831
28	0.646168351
29	0.6456579628
